Time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27888639662468306,-0.011403980000000001,-0.01178653,-0.01214409,-0.01247533,-0.012782420000000001,-0.01306942,-0.01333696,-0.01358399,-0.01381254,-0.0140259,-0.014132790000000001,-0.01422407,-0.014287419999999999,-0.01440642,-0.01457498,-0.01473213,-0.0148295,-0.01487759,-0.01495746,-0.01501108,-0.01513442,-0.01524922,-0.0153552,-0.01537473,-0.01545215
0.5577736299093925,-0.006216329,-0.006966498,-0.00765611,-0.00831166,-0.008929969999999999,-0.00949354,-0.01001217,-0.01050539,-0.01096739,-0.01138585,-0.01159025,-0.011771479999999999,-0.0119084,-0.012138489999999998,-0.012479810000000001,-0.012787179999999999,-0.012984929999999999,-0.01307131,-0.01323973,-0.013342,-0.01359176,-0.01381555,-0.014023309999999999,-0.01406356,-0.01422127
0.8366600265340756,-0.001298724,-0.002375723,-0.0033326159999999996,-0.004289971,-0.005223953,-0.006037206,-0.00676592,-0.00749938,-0.0082033,-0.008807049999999999,-0.00908635,-0.00935361,-0.009586220000000001,-0.00990787,-0.01043056,-0.010872330000000001,-0.01117599,-0.01127798,-0.011554199999999999,-0.01169252,-0.012075699999999998,-0.012395179999999999,-0.012694009999999999,-0.01275827,-0.0130011
1.115543913178679,0.003235155,0.001888558,0.0007383320000000001,-0.00048315049999999996,-0.001721076,-0.002750125,-0.003644235,-0.004602528,-0.005547458,-0.006314553,-0.006646836,-0.006994253,-0.00733796,-0.00773192,-0.00843927,-0.0089999,-0.00941143,-0.00950957,-0.009907379999999999,-0.01006978,-0.01059065,-0.010994060000000002,-0.01137297,-0.01146411,-0.011793600000000001
1.3944361664235478,0.00734153,0.005790036,0.0044992569999999996,0.003062262,0.001563093,0.0003509814,-0.0006815473,-0.001838459,-0.003001726,-0.00391587,-0.004294178,-0.004714878,-0.005162227,-0.005621454999999999,-0.006501502,-0.00717325,-0.007686210000000001,-0.0077798,-0.00829311,-0.00847756,-0.00912989,-0.00961394,-0.01006915,-0.01018661,-0.01059849
1.6733200530681511,0.011042360000000001,0.009350250000000001,0.00793534,0.006334496,0.0046482170000000005,0.0032802070000000003,0.002108568,0.0007863309999999999,-0.0005486544,-0.0016020549999999998,-0.002040318,-0.0025274549999999996,-0.003044692,-0.003579331,-0.004602178,-0.005387221,-0.005986302000000001,-0.00609896,-0.006697621,-0.0069161959999999995,-0.00768082,-0.00825223,-0.00879109,-0.00892871,-0.00941458
1.9522039397127546,0.01441349,0.01263654,0.011083029999999999,0.009364250000000001,0.0075793200000000005,0.006075223,0.0047419820000000005,0.003287767,0.001840146,0.0006482903,0.00012140379999999999,-0.00042636720000000005,-0.000964299,-0.001596791,-0.00272237,-0.0036295840000000004,-0.0042952979999999995,-0.0044663920000000005,-0.005105758,-0.005380375000000001,-0.006230126,-0.006902119,-0.00754012,-0.00768789,-0.00823837
2.231096192957623,0.017569509999999997,0.01574615,0.01402765,0.01222487,0.01041726,0.00878794,0.00726509,0.005705910000000001,0.004197403,0.002863294,0.002218643,0.0016142630000000001,0.001102059,0.00034850409999999995,-0.000844228,-0.001884813,-0.002599436,-0.002867172,-0.003505453,-0.003857294,-0.004767973,-0.005554738,-0.0063074970000000005,-0.00645631,-0.00706216
2.5099800796022267,0.02064846,0.01879171,0.01688932,0.01502179,0.01323084,0.01147601,0.009746590000000001,0.00809935,0.006556256,0.00507276,0.004294689,0.003635548,0.0031770619999999996,0.002289791,0.001047025,-0.0001373414,-0.00088977,-0.001275351,-0.001889202,-0.002327724,-0.0032888730000000003,-0.004201778000000001,-0.0050757350000000005,-0.005222966,-0.005874554
2.78886396624683,0.02379517,0.02188949,0.01980111,0.017872259999999997,0.01608957,0.01419796,0.01226344,0.010533039999999999,0.00894789,0.00730583,0.0063985249999999995,0.005684105,0.005281227,0.004263399,0.002963037,0.001627262,0.000839097,0.0003388273,-0.0002530913,-0.000771232,-0.001790845,-0.00283612,-0.003824891,-0.003976518,-0.004664079
3.067756219491699,0.02714271,0.02514974,0.02288797,0.02088226,0.019056240000000002,0.01700958,0.014887319999999999,0.01306361,0.011399290000000001,0.00959098,0.008575349999999999,0.00780276,0.0074312,0.006299069,0.004912922,0.003423889,0.002591995,0.0020018040000000003,0.001405502,0.0008269519999999999,-0.000273378,-0.0014497350000000002,-0.0025382210000000002,-0.002705626,-0.003424316
3.3466401061363023,0.030795239999999998,0.0286664,0.0262493,0.02412865,0.02217964,0.01996106,0.01767465,0.01572907,0.01393147,0.01195649,0.01085994,0.01002407,0.00963858,0.00841358,0.006904093,0.0052694460000000005,0.0043758749999999996,0.003732442,0.0030900940000000003,0.002471952,0.001264739,-3.150602e-05,-0.00120526,-0.001398334,-0.002156525
3.6255239927809058,0.03481632,0.0325052,0.02994397,0.027649649999999998,0.02549057,0.02309083,0.02065812,0.01854524,0.016559130000000002,0.01442651,0.013271930000000001,0.01236613,0.011911060000000001,0.01061074,0.00894355,0.007180880000000001,0.0062004040000000005,0.005540086999999999,0.004806571,0.004161101,0.0028272230000000002,0.001431507,0.00017777199999999998,-4.357983e-05,-0.000866789
3.9044162460257743,0.03922324,0.036690570000000006,0.03397891,0.03144316,0.02900093,0.026416110000000003,0.02384018,0.021508549999999998,0.019291509999999998,0.01701434,0.01581202,0.01482894,0.01425494,0.01288658,0.01103914,0.00916888,0.00807604,0.0074233599999999995,0.0065632699999999995,0.00589029,0.004421193,0.002948239,0.001608572,0.001364041,0.0004408929
4.183300132670378,0.04398513,0.04119591,0.03830316,0.0354704,0.03270309,0.029924930000000002,0.02718968,0.02460073,0.0221319,0.01971459,0.01845956,0.01739297,0.01667596,0.01523438,0.01319878,0.01123066,0.01000993,0.009369849999999999,0.00836885,0.00765961,0.006055721,0.004516910999999999,0.003079545,0.002819124,0.0017702579999999998
4.46218401931498,0.04901939,0.04593834,0.042814450000000004,0.03966102,0.03656492,0.03357214,0.03064663,0.0277914,0.0250726,0.02250031,0.021176610000000002,0.02002266,0.019174820000000002,0.01764602,0.01542548,0.01334816,0.01200122,0.0113589,0.01022763,0.00947303,0.007737379999999999,0.006123460000000001,0.004579819999999999,0.004305609,0.0031319119999999997
4.74107627255985,0.05418602,0.05078297,0.04737985,0.0439208,0.040521249999999995,0.03728326,0.03413753,0.031038419999999997,0.02808589,0.0253281,0.023919069999999997,0.022677199999999998,0.02173787,0.020107569999999998,0.01770937,0.01549352,0.014037240000000001,0.01336888,0.01213352,0.01133202,0.009463929999999999,0.00774816,0.006099373,0.005804778,0.004535181
5.019960159204453,0.05928853,0.05555641,0.05186209,0.04813872,0.04446876,0.04096603,0.03759266,0.034287120000000004,0.03111717,0.0281484,0.0266497,0.02532278,0.02432906,0.02259376,0.02002168,0.01764007,0.01609398,0.01538474,0.01406671,0.0132265,0.01122016,0.00937643,0.00763315,0.0073066,0.005977902
5.298844045849057,0.06409389,0.060070359999999996,0.05613594,0.05219522,0.04827641,0.044524829999999994,0.04095532,0.03747184,0.03409105,0.03091585,0.029343090000000002,0.027936719999999998,0.026892879999999997,0.025066230000000002,0.02231824,0.01976982,0.01814106,0.01739983,0.01599731,0.0151319,0.01298031,0.01100533,0.009181060000000001,0.008814399999999998,0.00744247
5.577736299093925,0.06837404000000001,0.06415017,0.06008639,0.05596934,0.05181372,0.047873839999999994,0.04417406,0.040521879999999996,0.03693088,0.033593,0.03197663,0.03049865,0.029370880000000002,0.02747962,0.02455362,0.021871989999999997,0.02015062,0.01940764,0.017895570000000003,0.01701546,0.014717850000000001,0.01263829,0.01074129,0.01033669,0.00890274
5.856620185738529,0.0719544,0.06766081,0.06359934,0.059349149999999996,0.05498535,0.05094579,0.04718952,0.043372,0.03958409,0.036148839999999995,0.03451693,0.03297714,0.03172358,0.029793120000000003,0.02669877,0.02393496,0.02210579,0.0213906,0.01974385,0.018849460000000002,0.01641745,0.01427405,0.012302849999999999,0.01187242,0.01033795
6.1355040723831324,0.0747439,0.0705222,0.06656489,0.062246380000000004,0.05775084,0.05369686,0.0499331,0.045974249999999994,0.04203542,0.038557400000000006,0.036917160000000004,0.03532739,0.03394272,0.03198174,0.028750539999999998,0.0259413,0.024003840000000002,0.023318259999999997,0.021542079999999998,0.02062179,0.01808058,0.0158991,0.01384432,0.01340346,0.0117432
6.414396325628001,0.07673400000000001,0.0727104,0.06890373000000001,0.0646142,0.0601188,0.05610822,0.05234726,0.04830756,0.044299990000000004,0.04080062,0.03913322,0.03750691,0.03604468,0.03404037,0.0307244,0.02787204,0.025851279999999997,0.02515961,0.02330237,0.02233714,0.01971998,0.01749342,0.01534386,0.014903630000000001,0.01312878
6.6932802122726045,0.077973,0.07425040000000001,0.0706034,0.06646038,0.06212283,0.05818645,0.05441555,0.05038117,0.04640244,0.042874859999999994,0.04114887,0.039500230000000004,0.03805165,0.0359807,0.03263834,0.02971745,0.0276563,0.02690212,0.02503676,0.024009440000000003,0.02134797,0.01904364,0.01679286,0.01635627,0.01450995
6.972164098917208,0.0785421,0.0752052,0.07173389999999999,0.06784932,0.06380276,0.059962140000000004,0.05617773,0.05223183,0.04836181,0.044794610000000006,0.042989589999999994,0.04133157,0.039977280000000004,0.03782506,0.03450111,0.03148425,0.029422959999999998,0.028562030000000002,0.02674966,0.02565353,0.02296826,0.02055291,0.01820329,0.017766909999999997,0.01589756
7.251056352162077,0.078554,0.0756735,0.07243179999999999,0.06888889,0.06520549,0.06148758,0.057717519999999994,0.05391645,0.05019385,0.04659067,0.04471257,0.043055739999999995,0.04182941,0.03960271,0.03631474,0.03319372,0.031153570000000002,0.03017693,0.028439600000000002,0.02728299,0.02457791,0.02203838,0.01960203,0.019158719999999997,0.01729665
7.52994023880668,0.0781606,0.075789,0.07285950000000001,0.06970817,0.06639822,0.06283347,0.05913229,0.055502090000000004,0.05192495,0.04830406,0.04638242,0.04473413,0.043622390000000004,0.0413469,0.03808686,0.03487323,0.03285569,0.03178791,0.03010952,0.028912729999999998,0.02617713,0.02352112,0.02101701,0.02055802,0.01871205
7.808824125451284,0.0775474,0.0757113,0.07317309999999999,0.07043400000000001,0.06747202,0.06408451,0.06050821,0.05705364,0.053598719999999996,0.04998175,0.04805199,0.04641637,0.045384219999999996,0.04308997,0.03983791,0.036550849999999996,0.034546610000000005,0.03342444,0.031772510000000004,0.030557800000000003,0.02777551,0.02501996,0.02246678,0.021984200000000002,0.02014964
