component,0.0,0.25,0.5,0.75
p16,0.08517090976238251,0.21791869401931763,0.35562244057655334,0.4992997944355011
p17,0.082391157746315,0.2192586362361908,0.3540770411491394,0.5005007982254028
p18,0.07976098358631134,0.21877381205558777,0.3533748984336853,0.5001500844955444
p19,0.07959790527820587,0.21832096576690674,0.35298970341682434,0.4996336102485657
p20,0.08166064321994781,0.21621011197566986,0.3519502282142639,0.4989474415779114
p21,0.08427353203296661,0.21894991397857666,0.3525453805923462,0.4990539252758026
p22,0.08624301105737686,0.21864773333072662,0.35403043031692505,0.500988781452179
p23,0.092112235724926,0.22066989541053772,0.35125190019607544,0.49960723519325256
p24,0.09178602695465088,0.21749085187911987,0.3483507037162781,0.49710384011268616
p25,0.10363265126943588,0.22588299214839935,0.35411497950553894,0.5022458434104919
