component,0.0,0.25,0.5,0.75
p16,0.2718954086303711,0.5184209018945694,0.47868840098381044,0.5645439445972442
p17,0.233973428606987,0.44177730679512023,0.45656549632549287,0.5551247656345367
p18,0.21754588186740875,0.42542535364627837,0.44633584916591645,0.5464559435844422
p19,0.18054699897766113,0.32267406582832336,0.4258674532175064,0.536607277393341
p20,0.1628347486257553,0.3109234690666199,0.4180229902267456,0.532908046245575
p21,0.13878118991851807,0.2797439366579056,0.4031990855932236,0.5261915445327758
p22,0.12249692529439926,0.2674920916557312,0.39404596090316774,0.522747665643692
p23,0.11856488883495331,0.26036151200532914,0.3839849978685379,0.5178551346063613
p24,0.11888081580400467,0.2584108501672745,0.3850584924221039,0.5184266716241837
p25,0.11789015680551529,0.2785722687840462,0.3844405025243759,0.5200870871543884
